.smooth,.estimate,.se,name,x_value
s(gam_age_offdiag_2),-161.7383582698679,16.47329663578359,offdiag_2,9393.939393939394
s(gam_age_offdiag_2),-163.8166689594728,16.684948284065594,offdiag_2,9494.949494949495
s(gam_age_offdiag_2),-165.89497960831704,16.896600122739052,offdiag_2,9595.959595959595
s(gam_age_offdiag_2),-167.9732902204958,17.108252146488596,offdiag_2,9696.969696969696
s(gam_age_offdiag_2),-170.05160080445555,17.31990434839677,offdiag_2,9797.979797979799
s(gam_age_offdiag_2),-172.12991136992298,17.531556719956832,offdiag_2,9898.9898989899
s(gam_age_offdiag_2),-174.20822192620224,17.743209252407443,offdiag_2,10000
s(gam_age_diag_prod),1.7802005455019445,2.6112881932489764,diag_prod,0
s(gam_age_diag_prod),1.7196511241308527,2.4968219582909046,diag_prod,90.9090909090909
s(gam_age_diag_prod),1.6586352166012865,2.382531667015003,diag_prod,181.8181818181818
s(gam_age_diag_prod),1.59618359238392,2.2684603758459208,diag_prod,272.72727272727275
s(gam_age_diag_prod),1.5311066762577075,2.1546510756963335,diag_prod,363.6363636363636
s(gam_age_diag_prod),1.4622454505267417,2.0411393612946203,diag_prod,454.5454545454545
s(gam_age_diag_prod),1.3886344627287124,1.927951150702066,diag_prod,545.4545454545455
s(gam_age_diag_prod),1.309626879166684,1.8151038496071084,diag_prod,636.3636363636364
s(gam_age_diag_prod),1.224975197797258,1.7026097239257176,diag_prod,727.2727272727273
s(gam_age_diag_prod),1.134854225433785,1.5904801899675198,diag_prod,818.1818181818181
s(gam_age_diag_prod),1.0398176955994378,1.4787299009191992,diag_prod,909.090909090909
s(gam_age_diag_prod),0.9407448611262633,1.367379933362308,diag_prod,1000
s(gam_age_diag_prod),0.8387600141546883,1.256460681885974,diag_prod,1090.909090909091
s(gam_age_diag_prod),0.7351670956010828,1.146015518043299,diag_prod,1181.8181818181818
s(gam_age_diag_prod),0.6313437507887046,1.0361071548658185,diag_prod,1272.7272727272727
s(gam_age_diag_prod),0.5286345768789391,0.9268296443897972,diag_prod,1363.6363636363635
s(gam_age_diag_prod),0.42825745029756884,0.8183308511271197,diag_prod,1454.5454545454545
s(gam_age_diag_prod),0.3312307497320366,0.7108546582588096,diag_prod,1545.4545454545455
s(gam_age_diag_prod),0.23830994698080635,0.6048254182951939,diag_prod,1636.3636363636363
s(gam_age_diag_prod),0.14999727792869033,0.5010287075503527,diag_prod,1727.2727272727273
s(gam_age_diag_prod),0.06652388668706088,0.40104646599725413,diag_prod,1818.181818181818
s(gam_age_diag_prod),-0.01217056008899875,0.3084176941366043,diag_prod,1909.090909090909
s(gam_age_diag_prod),-0.08641016441756225,0.23186716044142855,diag_prod,2000
s(gam_age_diag_prod),-0.15673938503770335,0.1914164760311872,diag_prod,2090.909090909091
